survived,pclass,age,sibsp,parch,fare,adult_male,alive,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,embark_town_Queenstown,embark_town_Southampton
1,2,1.970308369,0,0,-0.326266659,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-2.102733328,4,1,-0.061998889,FALSE,no,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1,2,-0.104637401,0,0,-0.38667072,TRUE,yes,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,0.125912129,1,0,-0.285997284,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,3,-0.104637401,0,0,-0.502948539,FALSE,yes,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
0,2,0.433311502,0,0,-0.124919787,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,0.356461659,0,0,-0.38667072,TRUE,yes,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,-1.103685364,0,0,-0.486756223,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1,1,-0.104637401,0,0,0.066359742,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.641634268,3,1,-0.224083121,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,0.663861032,1,5,-0.016444159,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.502948539,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
0,1,-0.796285991,3,2,4.647001077,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,-0.104637401,0,0,-0.489776426,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,3,-0.104637401,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,0.817560719,0,0,-0.090272017,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,-0.104637401,1,0,2.301728821,FALSE,yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,3,-0.104637401,0,0,-0.492377828,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,2,2.815656645,0,0,-0.437007438,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,-0.104637401,1,0,1.0060617,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
0,1,0.971260405,1,0,0.39858208,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,-0.104637401,0,0,-0.502863973,TRUE,yes,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
0,3,-0.642586304,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.873135834,2,0,-0.285997284,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,3,-1.180535208,1,0,-0.422073541,FALSE,yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0,3,0.817560719,1,0,-0.457645492,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,2,-0.181487244,1,0,-0.225593223,FALSE,no,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,-2.025883484,1,2,0.188762532,FALSE,yes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1,3,-0.796285991,0,0,-0.489776426,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,3,-0.104637401,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,1,0,-0.336334002,TRUE,no,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1,3,-0.104637401,0,0,-0.492377828,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,3,-0.104637401,2,0,-0.211917743,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
0,3,-0.873135834,1,0,-0.290024222,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-1.718484111,4,1,0.150673744,FALSE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,-0.642586304,0,0,-0.491371093,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,1,1.509209309,1,0,0.896496787,FALSE,yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,2,-0.027787558,1,0,-0.124919787,FALSE,yes,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,1,2.738806802,0,1,0.599510151,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,-0.104637401,0,0,0.066359742,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,-0.642586304,0,0,-0.437007438,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-0.066212479,0,0,-0.502863973,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,-1.872183798,1,2,-0.089684084,FALSE,yes,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
0,3,-1.411084738,5,2,0.295895176,FALSE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,-0.565736461,0,0,-0.502863973,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,1,0.663861032,0,0,0.962353321,FALSE,yes,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0,1,1.201809935,1,0,1.032321359,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.949033641,3,2,-0.086663881,FALSE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,1,-0.104637401,0,0,-0.090272017,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,3,-0.104637401,1,1,-0.34145224,TRUE,yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,-0.027787558,0,0,-0.437007438,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-0.796285991,0,0,-0.484156835,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.949985678,4,2,-0.488854258,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.258337088,2,0,-0.474004926,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,2,0.202761972,0,0,-0.437007438,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.026835521,5,2,0.295895176,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,2,-0.642586304,0,0,0.831477855,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-0.258337088,1,0,-0.357390858,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,3,0.202761972,0,0,0.489103607,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.335186931,0,0,-0.494391297,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,2,-2.192647644,0,2,-0.064515725,FALSE,yes,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,3,0.049062285,0,0,-0.397241431,FALSE,yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.565736461,0,0,-0.467209469,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.027787558,0,0,-0.457142125,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.104637401,0,0,-0.491622777,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,1,-0.104637401,0,0,0.299922113,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,2,-0.949985678,0,0,-0.437007438,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
1,3,0.279611815,3,0,-0.329286862,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-1.026835521,1,3,0.043708218,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,1,-0.488886618,3,2,4.647001077,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-0.412036774,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.027787558,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.719436148,0,0,-0.490279793,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,1.278659779,1,0,0.583317835,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-0.258337088,1,2,-0.234150465,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,2.277707742,0,0,-0.502445171,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,3.199905862,0,0,0.049329823,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,-0.488886618,0,1,0.627277898,TRUE,yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,2,0.356461659,0,1,-0.185323848,FALSE,yes,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,2,0.356461659,1,0,-0.124919787,TRUE,no,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.48944219,FALSE,no,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,-0.642586304,0,1,0.907737982,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,0.279611815,0,0,-0.474172044,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,0.587011189,2,0,-0.488854258,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.642586304,0,0,-0.494391297,FALSE,yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,3,-0.104637401,0,0,-0.491874461,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,0.663861032,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.104637401,1,0,-0.162168958,FALSE,yes,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,1,1.355509622,0,0,0.39858208,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.142110286,1,0,-0.357390858,FALSE,no,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0,3,-0.565736461,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.719436148,1,0,-0.450598352,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.949985678,0,0,-0.357308306,FALSE,no,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,-0.642586304,0,0,-0.488854258,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,3.16148094,0,0,-0.492377828,TRUE,no,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
0,2,-0.027787558,1,0,-0.225593223,TRUE,no,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,1,-0.412036774,0,1,4.335332227,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
0,3,-2.102733328,4,2,-0.018709312,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,-0.642586304,2,0,0.831477855,TRUE,no,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,2,0.241186894,1,0,-0.042955502,TRUE,no,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1,2,0.241186894,0,0,-0.38667072,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,1,1.893458525,0,1,0.907737982,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,-1.334234894,1,0,-0.422073541,FALSE,yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
0,3,-0.104637401,0,0,-0.492377828,TRUE,no,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
1,3,-0.412036774,0,0,-0.504625758,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,3,-0.104637401,1,1,-0.198244277,FALSE,yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
0,3,1.201809935,0,0,-0.50798221,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,0.279611815,0,0,-0.48944219,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
0,3,-0.719436148,0,0,-0.506472109,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,1.355509622,1,0,-0.356468689,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,2,-0.027787558,1,0,-0.124919787,FALSE,yes,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,2,-0.335186931,0,0,-0.38667072,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,-0.488886618,0,0,-0.345479177,TRUE,no,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,-0.796285991,0,2,-0.11921563,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0,1,0.587011189,1,0,0.420730236,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.026835521,0,0,-0.462846282,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,-0.412036774,0,0,0.946245572,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
0,3,-0.104637401,0,2,-0.34145224,FALSE,no,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1,3,-0.565736461,0,0,-0.492377828,FALSE,yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
1,3,-0.412036774,1,0,-0.329286862,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,3,-0.796285991,0,0,-0.512512515,TRUE,no,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
0,2,-0.873135834,0,0,-0.416872751,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,-0.796285991,1,1,0.091528101,TRUE,no,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,3,-0.181487244,0,0,-0.491455659,TRUE,yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-1.564784424,2,2,0.043708218,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,2,0.548586267,0,2,-0.124919787,TRUE,no,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,0.971260405,0,0,-0.38667072,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
0,2,1.662908995,0,0,-0.396234697,TRUE,no,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
1,1,-0.565736461,1,0,0.692548513,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,2.00873329,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,0.85598564,0,2,-0.356468689,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.501186753,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,1.662908995,0,1,0.587429338,TRUE,no,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,3,-1.026835521,0,0,-0.492714077,FALSE,yes,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
0,3,0.049062285,0,0,-0.486337422,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,-0.474004926,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,8,2,0.75194584,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,1.124960092,0,1,-0.32425319,TRUE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
1,2,0.817560719,0,0,-0.33130033,FALSE,yes,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,-0.258337088,0,0,-0.491874461,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-0.949985678,0,0,-0.474004926,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,3,-2.179583171,4,1,0.150673744,FALSE,no,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,3,-1.564784424,0,2,-0.235157199,FALSE,yes,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
1,1,-0.104637401,0,1,0.458986142,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
0,3,1.201809935,1,4,-0.086663881,FALSE,no,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
0,1,-0.104637401,0,0,-0.126429888,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-0.104637401,0,0,0.489103607,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,2.431407428,0,0,0.026090367,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
0,3,-1.949033641,4,1,-0.061998889,FALSE,no,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1,3,-2.179583171,1,1,-0.424256141,FALSE,yes,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
0,3,-0.642586304,0,0,-0.488854258,TRUE,no,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
0,1,2.047158212,0,0,-0.030371323,TRUE,no,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
